as_of_date,team,home_adv
2026-07-14,Los Angeles Dodgers,43.9
2026-07-14,Houston Astros,36.7
2026-07-14,Tampa Bay Rays,34.9
2026-07-14,San Francisco Giants,34.6
2026-07-14,Chicago White Sox,33.5
2026-07-14,New York Yankees,31.8
2026-07-14,Colorado Rockies,29.8
2026-07-14,Philadelphia Phillies,29.7
2026-07-14,Seattle Mariners,27.7
2026-07-14,Minnesota Twins,26.9
2026-07-14,New York Mets,26.5
2026-07-14,Oakland Athletics,25.7
2026-07-14,San Diego Padres,25.7
2026-07-14,Toronto Blue Jays,23.5
2026-07-14,Texas Rangers,22.2
2026-07-14,Miami Marlins,21.5
2026-07-14,St. Louis Cardinals,20.4
2026-07-14,Atlanta Braves,20.0
2026-07-14,Detroit Tigers,19.8
2026-07-14,Boston Red Sox,18.5
2026-07-14,Cincinnati Reds,18.0
2026-07-14,Milwaukee Brewers,17.9
2026-07-14,Kansas City Royals,17.7
2026-07-14,Pittsburgh Pirates,17.5
2026-07-14,Cleveland Indians,16.6
2026-07-14,Chicago Cubs,16.2
2026-07-14,Arizona Diamondbacks,15.7
2026-07-14,Los Angeles Angels,15.7
2026-07-14,Washington Nationals,5.3
2026-07-14,Baltimore Orioles,-1.2
