as_of_date,rank,team,pitcher,rating,opponent
2026-07-28,1,Atlanta Braves,Chris Sale,1605.8,New York Mets
2026-07-28,2,New York Yankees,Gerrit Cole,1593.9,Chicago White Sox
2026-07-28,3,Toronto Blue Jays,Shane Bieber,1570.5,Washington Nationals
2026-07-28,4,Miami Marlins,Sandy Alcantara,1544.8,Philadelphia Phillies
2026-07-28,5,San Diego Padres,Michael King,1537.6,Colorado Rockies
2026-07-28,6,Cleveland Guardians,Gavin Williams,1533.8,Cincinnati Reds
2026-07-28,7,Seattle Mariners,Luis Castillo,1533.4,Los Angeles Dodgers
2026-07-28,8,Cincinnati Reds,Chase Burns,1525.6,Cleveland Guardians
2026-07-28,9,Detroit Tigers,Troy Melton,1524.8,Baltimore Orioles
2026-07-28,10,Milwaukee Brewers,Logan Henderson,1515.8,San Francisco Giants
2026-07-28,11,Boston Red Sox,Jake Bennett,1515.0,Athletics
2026-07-28,12,San Francisco Giants,Landen Roupp,1514.4,Milwaukee Brewers
2026-07-28,13,Chicago White Sox,Anthony Kay,1510.2,New York Yankees
2026-07-28,14,Kansas City Royals,Seth Lugo,1507.7,Minnesota Twins
2026-07-28,15,New York Mets,Christian Scott,1504.3,Atlanta Braves
2026-07-28,16,Houston Astros,Peter Lambert,1503.2,Los Angeles Angels
2026-07-28,17,Baltimore Orioles,Dean Kremer,1502.4,Detroit Tigers
2026-07-28,18,Pittsburgh Pirates,Bubba Chandler,1501.0,Arizona Diamondbacks
2026-07-28,19,Cleveland Guardians,Slade Cecconi,1499.1,Cincinnati Reds
2026-07-28,20,Tampa Bay Rays,Griffin Jax,1492.1,Texas Rangers
2026-07-28,21,Chicago Cubs,Colin Rea,1489.9,St. Louis Cardinals
2026-07-28,22,Colorado Rockies,Michael Lorenzen,1487.2,San Diego Padres
2026-07-28,23,Philadelphia Phillies,Aaron Nola,1486.5,Miami Marlins
2026-07-28,24,Los Angeles Angels,Reid Detmers,1485.8,Houston Astros
2026-07-28,25,Arizona Diamondbacks,Brandon Pfaadt,1484.7,Pittsburgh Pirates
2026-07-28,26,Minnesota Twins,Taj Bradley,1483.5,Kansas City Royals
2026-07-28,27,Athletics,Gage Jump,1482.1,Boston Red Sox
2026-07-28,28,Washington Nationals,Cade Cavalli,1481.9,Toronto Blue Jays
