as_of_date,rank,team,pitcher,rating,opponent
2026-07-27,1,Philadelphia Phillies,Zack Wheeler,1639.8,Miami Marlins
2026-07-27,2,New York Yankees,Max Fried,1626.8,Chicago White Sox
2026-07-27,3,Baltimore Orioles,Kyle Bradish,1569.4,Detroit Tigers
2026-07-27,4,Seattle Mariners,George Kirby,1564.5,Texas Rangers
2026-07-27,5,Arizona Diamondbacks,Merrill Kelly,1548.7,Pittsburgh Pirates
2026-07-27,6,Toronto Blue Jays,Max Scherzer,1543.0,Washington Nationals
2026-07-27,7,Detroit Tigers,Keider Montero,1535.4,Baltimore Orioles
2026-07-27,8,Cincinnati Reds,Chase Burns,1525.6,Cleveland Guardians
2026-07-27,9,Atlanta Braves,Martín Pérez,1518.2,New York Mets
2026-07-27,10,Los Angeles Angels,Walbert Ureña,1513.2,Houston Astros
2026-07-27,11,Miami Marlins,Tyler Phillips,1511.4,Philadelphia Phillies
2026-07-27,12,New York Mets,Zac Thornton,1506.1,Atlanta Braves
2026-07-27,13,San Francisco Giants,Tyler Mahle,1504.5,Milwaukee Brewers
2026-07-27,14,Washington Nationals,Eddy Yean,1503.5,Toronto Blue Jays
2026-07-27,15,Boston Red Sox,Payton Tolle,1503.4,Athletics
2026-07-27,16,Milwaukee Brewers,Brandon Sproat,1502.8,San Francisco Giants
2026-07-27,17,Pittsburgh Pirates,Mitch Keller,1502.3,Arizona Diamondbacks
2026-07-27,18,Houston Astros,Tatsuya Imai,1500.0,Los Angeles Angels
2026-07-27,19,Cleveland Guardians,Slade Cecconi,1499.1,Cincinnati Reds
2026-07-27,20,Chicago Cubs,David Peterson,1496.2,St. Louis Cardinals
2026-07-27,21,Athletics,Jack Perkins,1488.5,Boston Red Sox
2026-07-27,22,Texas Rangers,Kumar Rocker,1486.7,Seattle Mariners
2026-07-27,23,Chicago White Sox,Noah Schultz,1484.6,New York Yankees
2026-07-27,24,St. Louis Cardinals,Matthew Liberatore,1483.0,Chicago Cubs
