as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-09-17,822845,Texas Rangers,1497.4,Boston Red Sox,1554.3,-56.9,45.0
2026-09-17,822924,Tampa Bay Rays,1538.0,Athletics,1432.3,105.7,69.2
2026-09-17,823334,Pittsburgh Pirates,1523.0,Milwaukee Brewers,1581.8,-58.8,44.1
2026-09-17,823573,New York Mets,1517.0,Philadelphia Phillies,1547.8,-30.8,49.4
2026-09-17,823978,Los Angeles Angels,1450.3,Minnesota Twins,1470.6,-20.3,49.3
2026-09-17,824141,Houston Astros,1497.0,Kansas City Royals,1492.3,4.7,55.9
2026-09-17,824305,Colorado Rockies,1415.3,San Diego Padres,1543.1,-127.8,36.3
2026-09-17,824464,Cincinnati Reds,1482.1,Los Angeles Dodgers,1551.6,-69.5,42.6
2026-09-17,824548,Chicago White Sox,1499.0,Detroit Tigers,1515.5,-16.5,52.4
