as_of_date,team,home_adv
2026-07-30,Los Angeles Dodgers,43.9
2026-07-30,Houston Astros,36.7
2026-07-30,Tampa Bay Rays,34.9
2026-07-30,San Francisco Giants,34.6
2026-07-30,Chicago White Sox,33.5
2026-07-30,New York Yankees,31.8
2026-07-30,Colorado Rockies,29.8
2026-07-30,Philadelphia Phillies,29.7
2026-07-30,Seattle Mariners,27.7
2026-07-30,Minnesota Twins,26.9
2026-07-30,New York Mets,26.5
2026-07-30,Oakland Athletics,25.7
2026-07-30,San Diego Padres,25.7
2026-07-30,Toronto Blue Jays,23.5
2026-07-30,Texas Rangers,22.2
2026-07-30,Miami Marlins,21.5
2026-07-30,St. Louis Cardinals,20.4
2026-07-30,Atlanta Braves,20.0
2026-07-30,Detroit Tigers,19.8
2026-07-30,Boston Red Sox,18.5
2026-07-30,Cincinnati Reds,18.0
2026-07-30,Milwaukee Brewers,17.9
2026-07-30,Kansas City Royals,17.7
2026-07-30,Pittsburgh Pirates,17.5
2026-07-30,Cleveland Indians,16.6
2026-07-30,Chicago Cubs,16.2
2026-07-30,Arizona Diamondbacks,15.7
2026-07-30,Los Angeles Angels,15.7
2026-07-30,Washington Nationals,5.3
2026-07-30,Baltimore Orioles,-1.2
