as_of_date,rank,pitcher,rating
2026-08-28,1,Zack Wheeler,1629.4
2026-08-28,2,Max Fried,1628.3
2026-08-28,3,Chris Sale,1621.3
2026-08-28,4,Logan Gilbert,1614.1
2026-08-28,5,Gerrit Cole,1606.1
2026-08-28,6,Tarik Skubal,1605.9
2026-08-28,7,Logan Webb,1587.5
2026-08-28,8,Blake Snell,1585.1
2026-08-28,9,Yoshinobu Yamamoto,1580.5
2026-08-28,10,Jacob deGrom,1579.3
2026-08-28,11,Cristopher Sánchez,1577.2
2026-08-28,12,Shane Bieber,1576.5
2026-08-28,13,Sonny Gray,1575.1
2026-08-28,14,Tyler Glasnow,1574.9
2026-08-28,15,Dylan Cease,1574.2
2026-08-28,16,Corbin Burnes,1573.5
2026-08-28,17,Shane McClanahan,1573.1
2026-08-28,18,Tanner Bibee,1568.9
2026-08-28,19,Carlos Rodón,1567.1
2026-08-28,20,Framber Valdez,1567.0
2026-08-28,21,Ranger Suarez,1566.2
2026-08-28,22,Paul Skenes,1565.1
2026-08-28,23,Shota Imanaga,1565.0
2026-08-28,24,Garrett Crochet,1564.4
2026-08-28,25,Drew Rasmussen,1563.6
2026-08-28,26,George Kirby,1563.2
2026-08-28,27,Kevin Gausman,1562.2
2026-08-28,28,Clayton Kershaw,1561.9
2026-08-28,29,Robbie Ray,1561.2
2026-08-28,30,Sandy Alcantara,1561.2
2026-08-28,31,Kyle Bradish,1560.1
2026-08-28,32,Freddy Peralta,1559.4
2026-08-28,33,Nathan Eovaldi,1558.9
2026-08-28,34,Brandon Woodruff,1557.1
2026-08-28,35,Nick Martinez,1556.3
2026-08-28,36,Michael Wacha,1555.0
2026-08-28,37,Joe Musgrove,1553.7
2026-08-28,38,Andrew Abbott,1553.4
2026-08-28,39,José Berríos,1553.0
2026-08-28,40,Shohei Ohtani,1552.3
2026-08-28,41,Jameson Taillon,1549.4
2026-08-28,42,Yu Darvish,1547.7
2026-08-28,43,Nick Pivetta,1543.2
2026-08-28,44,Hunter Brown,1542.1
2026-08-28,45,Jacob Misiorowski,1542.0
2026-08-28,46,Bryan Woo,1541.1
2026-08-28,47,Merrill Kelly,1540.7
2026-08-28,48,Alek Manoah,1539.8
2026-08-28,49,Walker Buehler,1539.4
2026-08-28,50,Michael King,1539.4
2026-08-28,51,Julio Urías,1539.3
2026-08-28,52,Cam Schlittler,1538.5
2026-08-28,53,Reynaldo López,1536.3
2026-08-28,54,Troy Melton,1536.2
2026-08-28,55,Gavin Williams,1536.1
2026-08-28,56,Jesús Luzardo,1536.1
2026-08-28,57,Max Scherzer,1536.1
2026-08-28,58,Clarke Schmidt,1534.9
2026-08-28,59,Jose Quintana,1534.7
2026-08-28,60,Parker Messick,1534.4
2026-08-28,61,Randy Vásquez,1534.0
2026-08-28,62,Keider Montero,1533.2
2026-08-28,63,Shane Baz,1532.5
2026-08-28,64,Joey Cantillo,1532.0
2026-08-28,65,Justin Verlander,1532.0
2026-08-28,66,Logan Henderson,1531.8
2026-08-28,67,Luis Garcia,1530.8
2026-08-28,68,Andre Pallante,1530.2
2026-08-28,69,Clay Holmes,1530.2
2026-08-28,70,Spencer Schwellenbach,1530.1
2026-08-28,71,Eduardo Rodriguez,1530.0
2026-08-28,72,Kodai Senga,1529.8
2026-08-28,73,Javier Assad,1529.3
2026-08-28,74,Luis Castillo,1529.2
2026-08-28,75,Casey Mize,1527.9
2026-08-28,76,Hunter Greene,1526.7
2026-08-28,77,Triston McKenzie,1526.7
2026-08-28,78,Connelly Early,1526.2
2026-08-28,79,Tomoyuki Sugano,1525.8
2026-08-28,80,Grant Holmes,1525.5
2026-08-28,81,Ronel Blanco,1525.4
2026-08-28,82,Nolan McLean,1525.3
2026-08-28,83,Wade Miley,1525.2
2026-08-28,84,Tony Gonsolin,1524.6
2026-08-28,85,Braxton Ashcraft,1524.2
2026-08-28,86,Kyle Harrison,1524.1
2026-08-28,87,Marcus Stroman,1523.5
2026-08-28,88,Ben Lively,1522.3
2026-08-28,89,Spencer Strider,1522.3
2026-08-28,90,Chase Burns,1522.2
2026-08-28,91,Nestor Cortes,1521.3
2026-08-28,92,Chris Bassitt,1521.0
2026-08-28,93,Bryce Elder,1520.9
2026-08-28,94,Luis Gil,1520.5
2026-08-28,95,Chad Patrick,1520.5
2026-08-28,96,Trevor Bauer,1520.0
2026-08-28,97,Cole Irvin,1519.8
2026-08-28,98,Ben Brown,1519.3
2026-08-28,99,Kyle Leahy,1519.1
2026-08-28,100,Anthony Kay,1519.0
2026-08-28,101,Brent Suter,1518.8
2026-08-28,102,Matthew Boyd,1518.8
2026-08-28,103,Mike Clevinger,1518.2
2026-08-28,104,Ryan Pepiot,1518.2
2026-08-28,105,Cade Horton,1518.1
2026-08-28,106,Martín Pérez,1517.9
2026-08-28,107,Alex Cobb,1517.6
2026-08-28,108,Walbert Ureña,1517.3
2026-08-28,109,Tyler Mahle,1516.6
2026-08-28,110,Cooper Criswell,1516.6
2026-08-28,111,Zac Gallen,1516.0
2026-08-28,112,Kwang Hyun Kim,1515.9
2026-08-28,113,Sean Burke,1515.9
2026-08-28,114,Tyler Wells,1515.7
2026-08-28,115,Quinn Priester,1515.7
2026-08-28,116,Stephen Kolek,1515.6
2026-08-28,117,J.T. Ginn,1515.3
2026-08-28,118,Beau Brieske,1515.3
2026-08-28,119,José Urquidy,1514.7
2026-08-28,120,Adam Wainwright,1514.4
2026-08-28,121,Adrian Houser,1514.3
2026-08-28,122,Braydon Fisher,1514.1
2026-08-28,123,Cole Ragans,1514.0
2026-08-28,124,Domingo Germán,1513.8
2026-08-28,125,Zach Eflin,1513.8
2026-08-28,126,Joe Ryan,1513.6
2026-08-28,127,Dustin May,1513.5
2026-08-28,128,Payton Tolle,1513.4
2026-08-28,129,Christian Scott,1513.2
2026-08-28,130,Eury Pérez,1512.2
2026-08-28,131,Tylor Megill,1512.1
2026-08-28,132,Jacob Latz,1511.5
2026-08-28,133,Pablo López,1511.3
2026-08-28,134,Zac Thornton,1511.1
2026-08-28,135,Braxton Garrett,1510.9
2026-08-28,136,Landen Roupp,1510.9
2026-08-28,137,Randy Dobnak,1510.7
2026-08-28,138,Jared Koenig,1510.6
2026-08-28,139,Anthony DeSclafani,1510.5
2026-08-28,140,Eric Lauer,1510.4
2026-08-28,141,Jalen Beeks,1510.3
2026-08-28,142,Bowden Francis,1510.2
2026-08-28,143,Justin Steele,1510.2
2026-08-28,144,Casey Legumina,1509.9
2026-08-28,145,Lake Bachar,1509.8
2026-08-28,146,Jackson Jobe,1509.6
2026-08-28,147,Adrian Sampson,1509.2
2026-08-28,148,Tyler Alexander,1509.2
2026-08-28,149,Bubba Chandler,1509.0
2026-08-28,150,Bradgley Rodriguez,1509.0
2026-08-28,151,Will Klein,1508.7
2026-08-28,152,Reese Olson,1508.7
2026-08-28,153,Lance Lynn,1508.5
2026-08-28,154,Ryan Burr,1508.3
2026-08-28,155,Louis Varland,1508.3
2026-08-28,156,Mick Abel,1508.0
2026-08-28,157,Trey Yesavage,1507.9
2026-08-28,158,Brandon Young,1507.8
2026-08-28,159,Caleb Ferguson,1507.8
2026-08-28,160,Grant Taylor,1507.8
2026-08-28,161,Frankie Montas,1507.6
2026-08-28,162,Gavin Stone,1507.6
2026-08-28,163,River Ryan,1507.4
2026-08-28,164,Marco Gonzales,1507.4
2026-08-28,165,Nick Lodolo,1507.3
2026-08-28,166,Kyle Wright,1507.3
2026-08-28,167,Mason Montgomery,1507.3
2026-08-28,168,José Buttó,1507.2
2026-08-28,169,Sam Long,1507.1
2026-08-28,170,Jake Bennett,1507.1
2026-08-28,171,Bryan Hudson,1506.9
2026-08-28,172,Ryan Bergert,1506.9
2026-08-28,173,Brusdar Graterol,1506.9
2026-08-28,174,Huascar Brazobán,1506.8
2026-08-28,175,Carmen Mlodzinski,1506.8
2026-08-28,176,Landon Knack,1506.8
2026-08-28,177,Brandon Hughes,1506.7
2026-08-28,178,John Means,1506.5
2026-08-28,179,Danny Duffy,1506.3
2026-08-28,180,Mason Fluharty,1506.1
2026-08-28,181,Kenny Rosenberg,1506.1
2026-08-28,182,Josiah Gray,1506.0
2026-08-28,183,Collin McHugh,1505.9
2026-08-28,184,Jimmy Lambert,1505.8
2026-08-28,185,Luis Morales,1505.7
2026-08-28,186,Wandy Peralta,1505.6
2026-08-28,187,Brenan Hanifee,1505.6
2026-08-28,188,Corey Knebel,1505.6
2026-08-28,189,Cody Poteet,1505.6
2026-08-28,190,Kolby Allard,1505.5
2026-08-28,191,Cole Sulser,1505.4
2026-08-28,192,Jesus Tinoco,1505.3
2026-08-28,193,Cody Bradford,1505.2
2026-08-28,194,Drey Jameson,1505.2
2026-08-28,195,AJ Smith-Shawver,1505.1
2026-08-28,196,Johnny Cueto,1505.1
2026-08-28,197,Ryan Yarbrough,1505.1
2026-08-28,198,Brant Hurter,1505.0
2026-08-28,199,Devin Smeltzer,1504.8
2026-08-28,200,Eduardo Rivera,1504.8
2026-08-28,201,Matt Wilkinson,1504.6
2026-08-28,202,Jordan Montgomery,1504.6
2026-08-28,203,A.J. Alexy,1504.6
2026-08-28,204,Brandon Eisert,1504.5
2026-08-28,205,Sixto Sánchez,1504.4
2026-08-28,206,Hyun Jin Ryu,1504.4
2026-08-28,207,Foster Griffin,1504.4
2026-08-28,208,Ryan Borucki,1504.4
2026-08-28,209,Trevor McDonald,1504.4
2026-08-28,210,Justin Wrobleski,1504.4
2026-08-28,211,Andrew Alvarez,1504.2
2026-08-28,212,Josh Winder,1504.2
2026-08-28,213,Steven Brault,1504.1
2026-08-28,214,Alec Gamboa,1503.9
2026-08-28,215,John Schreiber,1503.9
2026-08-28,216,Luis Diaz,1503.8
2026-08-28,217,Hunter Dobbins,1503.8
2026-08-28,218,Jakob Junis,1503.7
2026-08-28,219,Hunter Bigge,1503.6
2026-08-28,220,Adrian Morejon,1503.6
2026-08-28,221,Jovani Morán,1503.6
2026-08-28,222,Noah Cameron,1503.6
2026-08-28,223,Victor González,1503.5
2026-08-28,224,Brandon Sproat,1503.5
2026-08-28,225,Drew Smyly,1503.4
2026-08-28,226,Luke Farrell,1503.4
2026-08-28,227,Bryan Garcia,1503.4
2026-08-28,228,Chris Ellis,1503.4
2026-08-28,229,Carson Whisenhunt,1503.4
2026-08-28,230,Ryan Johnson,1503.3
2026-08-28,231,Josh Winckowski,1503.3
2026-08-28,232,George Klassen,1503.2
2026-08-28,233,Cody Morris,1503.2
2026-08-28,234,Matt Peacock,1503.2
2026-08-28,235,Charlie Barnes,1503.2
2026-08-28,236,Robert Stock,1503.2
2026-08-28,237,Brett Kennedy,1503.2
2026-08-28,238,Michael Pineda,1503.1
2026-08-28,239,Miguel Díaz,1503.1
2026-08-28,240,Matt Gage,1503.1
2026-08-28,241,Kris Bubic,1503.1
2026-08-28,242,Josh Staumont,1503.1
2026-08-28,243,Easton McGee,1503.1
2026-08-28,244,J.P. Feyereisen,1503.1
2026-08-28,245,Ryan Rolison,1503.1
2026-08-28,246,Ryan Weathers,1503.0
2026-08-28,247,Mason Adams,1503.0
2026-08-28,248,Jonathan Loáisiga,1502.9
2026-08-28,249,Shelby Miller,1502.9
2026-08-28,250,Garrett Hill,1502.8
2026-08-28,251,Scott Alexander,1502.8
2026-08-28,252,Jimmy Herget,1502.7
2026-08-28,253,Kohl Stewart,1502.7
2026-08-28,254,Andrew Kittredge,1502.6
2026-08-28,255,Spencer Turnbull,1502.6
2026-08-28,256,Hogan Harris,1502.6
2026-08-28,257,Tobias Myers,1502.5
2026-08-28,258,John Curtiss,1502.5
2026-08-28,259,Hoby Milner,1502.5
2026-08-28,260,Elvis Peguero,1502.4
2026-08-28,261,Nick Neidert,1502.4
2026-08-28,262,Matt Svanson,1502.4
2026-08-28,263,Kent Emanuel,1502.4
2026-08-28,264,José De León,1502.3
2026-08-28,265,Randy Rodríguez,1502.3
2026-08-28,266,Miguel Castro,1502.3
2026-08-28,267,Beck Way,1502.3
2026-08-28,268,Pedro Avila,1502.3
2026-08-28,269,Paxton Schultz,1502.3
2026-08-28,270,Julian Merryweather,1502.3
2026-08-28,271,Drew Pomeranz,1502.2
2026-08-28,272,Jhony Brito,1502.2
2026-08-28,273,Ian Anderson,1502.2
2026-08-28,274,Kyle Tyler,1502.2
2026-08-28,275,Bryan Shaw,1502.2
2026-08-28,276,Ben Braymer,1502.1
2026-08-28,277,Tejay Antone,1502.1
2026-08-28,278,Angel Zerpa,1502.1
2026-08-28,279,Zach Agnos,1502.0
2026-08-28,280,Garrett Cleavinger,1502.0
2026-08-28,281,Shawn Armstrong,1502.0
2026-08-28,282,John Brebbia,1502.0
2026-08-28,283,Seth Lugo,1502.0
2026-08-28,284,Matt Sauer,1502.0
2026-08-28,285,Pierce Johnson,1502.0
2026-08-28,286,Dominic Leone,1501.9
2026-08-28,287,Trevor Megill,1501.9
2026-08-28,288,DL Hall,1501.9
2026-08-28,289,Bryan King,1501.9
2026-08-28,290,Luis Perdomo,1501.9
2026-08-28,291,Juan Mejia,1501.9
2026-08-28,292,Tristan Beck,1501.9
2026-08-28,293,Jefry Rodriguez,1501.9
2026-08-28,294,Justin Bruihl,1501.9
2026-08-28,295,Cole Winn,1501.8
2026-08-28,296,Charlie Morton,1501.8
2026-08-28,297,Steven Okert,1501.8
2026-08-28,298,Danny Young,1501.8
2026-08-28,299,Will Vest,1501.8
2026-08-28,300,Dillon Peters,1501.8
2026-08-28,301,Sam Moll,1501.7
2026-08-28,302,Andrew Walters,1501.7
2026-08-28,303,Aaron Slegers,1501.7
2026-08-28,304,Jose Cuas,1501.7
2026-08-28,305,Josh A. Smith,1501.6
2026-08-28,306,Conner Menez,1501.6
2026-08-28,307,Anthony Veneziano,1501.6
2026-08-28,308,Calvin Faucher,1501.6
2026-08-28,309,Zach Thornton,1501.6
2026-08-28,310,David Robertson,1501.6
2026-08-28,311,Kade Anderson,1501.6
2026-08-28,312,Tyler Anderson,1501.6
2026-08-28,313,Corey Kluber,1501.6
2026-08-28,314,Caleb Boushley,1501.5
2026-08-28,315,Austin Davis,1501.5
2026-08-28,316,Jackson Rutledge,1501.5
2026-08-28,317,Nick Goody,1501.5
2026-08-28,318,Darius Vines,1501.5
2026-08-28,319,Matt Bowman,1501.5
2026-08-28,320,Anthony Bender,1501.4
2026-08-28,321,Travis Lakins,1501.4
2026-08-28,322,Cristian Mena,1501.4
2026-08-28,323,Jose Alvarez,1501.4
2026-08-28,324,Mike Fiers,1501.4
2026-08-28,325,Mitch Bratt,1501.4
2026-08-28,326,Tony Santillan,1501.4
2026-08-28,327,Kyle Nelson,1501.4
2026-08-28,328,Jordan Zimmermann,1501.3
2026-08-28,329,Paul Blackburn,1501.3
2026-08-28,330,Joel Payamps,1501.3
2026-08-28,331,Pete Fairbanks,1501.3
2026-08-28,332,Steven Wilson,1501.3
2026-08-28,333,Tommy Hunter,1501.2
2026-08-28,334,Kaleb Ort,1501.2
2026-08-28,335,Chris Stratton,1501.2
2026-08-28,336,Spencer Bivens,1501.2
2026-08-28,337,Masahiro Tanaka,1501.2
2026-08-28,338,AJ Blubaugh,1501.1
2026-08-28,339,Janson Junk,1501.1
2026-08-28,340,Ramón Rosso,1501.1
2026-08-28,341,Drew Anderson,1501.1
2026-08-28,342,Jimmy Cordero,1501.1
2026-08-28,343,Javy Guerra,1501.1
2026-08-28,344,David Phelps,1501.1
2026-08-28,345,Chris Mazza,1501.1
2026-08-28,346,Tyler Samaniego,1501.1
2026-08-28,347,Aaron Sanchez,1501.0
2026-08-28,348,Alec Mills,1501.0
2026-08-28,349,Daniel Castano,1501.0
2026-08-28,350,Yohan Ramírez,1501.0
2026-08-28,351,Garrett Whitlock,1501.0
2026-08-28,352,Robby Snelling,1501.0
2026-08-28,353,Jhonathan Díaz,1501.0
2026-08-28,354,Trevor Richards,1501.0
2026-08-28,355,Corey Oswalt,1500.9
2026-08-28,356,Riley Martin,1500.9
2026-08-28,357,Stephen Nogosek,1500.9
2026-08-28,358,Tayler Scott,1500.9
2026-08-28,359,Anthony Maldonado,1500.9
2026-08-28,360,Jayden Murray,1500.9
2026-08-28,361,Edwin Uceta,1500.9
2026-08-28,362,Jonathan Diaz,1500.9
2026-08-28,363,Gerson Garabito,1500.9
2026-08-28,364,Caleb Baragar,1500.9
2026-08-28,365,Yerry Rodríguez,1500.9
2026-08-28,366,Andrew Albers,1500.9
2026-08-28,367,Scott Effross,1500.9
2026-08-28,368,Ryan Thompson,1500.9
2026-08-28,369,Jonathan Bermúdez,1500.9
2026-08-28,370,Tyler Clippard,1500.9
2026-08-28,371,Gabe Speier,1500.9
2026-08-28,372,Kyle Cody,1500.9
2026-08-28,373,Lucas Luetge,1500.8
2026-08-28,374,Brandon Kintzler,1500.8
2026-08-28,375,Phil Maton,1500.8
2026-08-28,376,Zach Pop,1500.8
2026-08-28,377,Aaron Loup,1500.8
2026-08-28,378,A.J. Vukovich,1500.8
2026-08-28,379,Brad Lord,1500.7
2026-08-28,380,Nick Sandlin,1500.7
2026-08-28,381,John Gant,1500.7
2026-08-28,382,Eddy Yean,1500.7
2026-08-28,383,Chris Rodriguez,1500.7
2026-08-28,384,Robert Gasser,1500.7
2026-08-28,385,Conner Greene,1500.7
2026-08-28,386,Luis Ortiz,1500.7
2026-08-28,387,Jimmy Nelson,1500.6
2026-08-28,388,Sean Hjelle,1500.6
2026-08-28,389,Homer Bailey,1500.6
2026-08-28,390,Brett Martin,1500.6
2026-08-28,391,Wily Peralta,1500.6
2026-08-28,392,Jackson Wolf,1500.5
2026-08-28,393,Joe Kelly,1500.5
2026-08-28,394,Penn Murfee,1500.5
2026-08-28,395,Elmer Rodríguez,1500.5
2026-08-28,396,Andrew Bellatti,1500.5
2026-08-28,397,Justin Topa,1500.5
2026-08-28,398,Ervin Santana,1500.4
2026-08-28,399,Louis Head,1500.4
2026-08-28,400,Ian Kennedy,1500.4
2026-08-28,401,Matt Wisler,1500.4
2026-08-28,402,Daniel Ponce de Leon,1500.4
2026-08-28,403,Matt Moore,1500.4
2026-08-28,404,Duane Underwood Jr.,1500.3
2026-08-28,405,Joe Mantiply,1500.3
2026-08-28,406,Junior Guerra,1500.3
2026-08-28,407,Asher Wojciechowski,1500.3
2026-08-28,408,Matt Barnes,1500.3
2026-08-28,409,Justin Dunn,1500.2
2026-08-28,410,Ryan Zeferjahn,1500.2
2026-08-28,411,Jay Jackson,1500.2
2026-08-28,412,Michel Baez,1500.2
2026-08-28,413,Jordan Leasure,1500.1
2026-08-28,414,Anthony Banda,1500.1
2026-08-28,415,Blair Henley,1500.1
2026-08-28,416,Collin Snider,1500.1
2026-08-28,417,Mason Englert,1500.1
2026-08-28,418,Daniel Norris,1500.1
2026-08-28,419,Peyton Battenfield,1500.1
2026-08-28,420,Max Meyer,1500.1
2026-08-28,421,Evan Lee,1500.1
2026-08-28,422,Dylan Lee,1500.1
2026-08-28,423,Nick Wittgren,1500.0
2026-08-28,424,Darien Núñez,1500.0
2026-08-28,425,David Morgan,1500.0
2026-08-28,426,Alex Reyes,1500.0
2026-08-28,427,Thomas Hatch,1500.0
2026-08-28,428,Walter Pennington,1499.9
2026-08-28,429,Rico Garcia,1499.9
2026-08-28,430,Aníbal Sánchez,1499.9
2026-08-28,431,Zach Neal,1499.9
2026-08-28,432,Mike Paredes,1499.9
2026-08-28,433,Taylor Clarke,1499.9
2026-08-28,434,Travis Bergen,1499.8
2026-08-28,435,Quinn Mathews,1499.8
2026-08-28,436,Justin Hagenman,1499.8
2026-08-28,437,Cade Gibson,1499.8
2026-08-28,438,Reed Garrett,1499.8
2026-08-28,439,Jake Bird,1499.8
2026-08-28,440,Andre Jackson,1499.8
2026-08-28,441,James McArthur,1499.8
2026-08-28,442,Brett Anderson,1499.8
2026-08-28,443,Sebastian Castro,1499.8
2026-08-28,444,Josh Taylor,1499.8
2026-08-28,445,Ethan Pecko,1499.8
2026-08-28,446,Robert Dugger,1499.8
2026-08-28,447,Blake Parker,1499.7
2026-08-28,448,James Kaprielian,1499.7
2026-08-28,449,Cole Hamels,1499.7
2026-08-28,450,Joey Lucchesi,1499.7
2026-08-28,451,Jonathan Stiever,1499.7
2026-08-28,452,Cody Freeman,1499.7
2026-08-28,453,Dennis Santana,1499.7
2026-08-28,454,Mason Black,1499.6
2026-08-28,455,Josh Sborz,1499.6
2026-08-28,456,Sean Nolin,1499.6
2026-08-28,457,Blake Walston,1499.5
2026-08-28,458,David Sandlin,1499.5
2026-08-28,459,Mike Kickham,1499.5
2026-08-28,460,Michael Mercado,1499.5
2026-08-28,461,Gio Gonzalez,1499.5
2026-08-28,462,Hyeon-Jong Yang,1499.5
2026-08-28,463,Burch Smith,1499.5
2026-08-28,464,Emilio Pagán,1499.5
2026-08-28,465,Tatsuya Imai,1499.5
2026-08-28,466,Alex Vesia,1499.5
2026-08-28,467,Logan Salow,1499.5
2026-08-28,468,Adonis Medina,1499.4
2026-08-28,469,Hunter Gaddis,1499.4
2026-08-28,470,Josh James,1499.4
2026-08-28,471,Adam Macko,1499.4
2026-08-28,472,Bryce Jarvis,1499.4
2026-08-28,473,David Festa,1499.4
2026-08-28,474,Agustin Acosta,1499.4
2026-08-28,475,Brady Basso,1499.4
2026-08-28,476,Sam Hentges,1499.4
2026-08-28,477,Derek Law,1499.4
2026-08-28,478,Ian Seymour,1499.3
2026-08-28,479,Brent Honeywell,1499.3
2026-08-28,480,Mike Montgomery,1499.3
2026-08-28,481,Tim Mayza,1499.3
2026-08-28,482,Zack Thompson,1499.3
2026-08-28,483,Adbert Alzolay,1499.3
2026-08-28,484,Dietrich Enns,1499.3
2026-08-28,485,Brad Peacock,1499.3
2026-08-28,486,Abraham Toro,1499.2
2026-08-28,487,Jhoulys Chacín,1499.2
2026-08-28,488,Brendan White,1499.2
2026-08-28,489,Walker Lockett,1499.1
2026-08-28,490,Dany Jiménez,1499.1
2026-08-28,491,Kendall Graveman,1499.1
2026-08-28,492,Joe Jacques,1499.1
2026-08-28,493,Robinson Leyer,1499.1
2026-08-28,494,Jesse Chavez,1499.1
2026-08-28,495,Zack Littell,1499.1
2026-08-28,496,Riley O'Brien,1499.0
2026-08-28,497,Luis Patiño,1499.0
2026-08-28,498,Jason Alexander,1499.0
2026-08-28,499,Robbie Erlin,1499.0
2026-08-28,500,Mauricio Llovera,1499.0
2026-08-28,501,Shinnosuke Ogasawara,1499.0
2026-08-28,502,Chris Murphy,1498.9
2026-08-28,503,Chris Devenski,1498.9
2026-08-28,504,Nick Margevicius,1498.9
2026-08-28,505,Robert Gsellman,1498.9
2026-08-28,506,Carson Fulmer,1498.9
2026-08-28,507,Carlos Rodriguez,1498.8
2026-08-28,508,David Hale,1498.8
2026-08-28,509,Buck Farmer,1498.8
2026-08-28,510,Josh Osich,1498.8
2026-08-28,511,Mark Leiter Jr.,1498.8
2026-08-28,512,Kyle Zimmer,1498.8
2026-08-28,513,Héctor Santiago,1498.8
2026-08-28,514,Justin Garza,1498.8
2026-08-28,515,Ryan Walker,1498.8
2026-08-28,516,Keynan Middleton,1498.8
2026-08-28,517,Max Kranick,1498.7
2026-08-28,518,Connor Brogdon,1498.7
2026-08-28,519,Ashton Goudeau,1498.7
2026-08-28,520,Paul Campbell,1498.6
2026-08-28,521,Bryan Baker,1498.6
2026-08-28,522,José Ruiz,1498.6
2026-08-28,523,Kyle Backhus,1498.6
2026-08-28,524,Rob Zastryzny,1498.5
2026-08-28,525,Garrett Richards,1498.5
2026-08-28,526,Brock Burke,1498.5
2026-08-28,527,Trevor Rogers,1498.5
2026-08-28,528,Tommy Nance,1498.4
2026-08-28,529,PJ Poulin,1498.4
2026-08-28,530,Michael Kopech,1498.4
2026-08-28,531,Matt Hall,1498.3
2026-08-28,532,Scott Kazmir,1498.3
2026-08-28,533,Reiss Knehr,1498.3
2026-08-28,534,Francisco Pérez,1498.3
2026-08-28,535,Chase Silseth,1498.3
2026-08-28,536,Mason Miller,1498.3
2026-08-28,537,Matt Swarmer,1498.3
2026-08-28,538,Shane Drohan,1498.2
2026-08-28,539,Sam Howard,1498.2
2026-08-28,540,Ross Detwiler,1498.2
2026-08-28,541,Tyler Ivey,1498.2
2026-08-28,542,Alec Marsh,1498.2
2026-08-28,543,Lucas Gilbreath,1498.2
2026-08-28,544,Matt Foster,1498.2
2026-08-28,545,Scott McGough,1498.2
2026-08-28,546,Kyle Funkhouser,1498.2
2026-08-28,547,Tyler Chatwood,1498.2
2026-08-28,548,Thomas Harrington,1498.1
2026-08-28,549,Austin Brice,1498.1
2026-08-28,550,Sean Reynolds,1498.1
2026-08-28,551,Luis Oviedo,1498.1
2026-08-28,552,Levi Stoudt,1498.1
2026-08-28,553,Hans Crouse,1498.1
2026-08-28,554,Austin Warren,1498.0
2026-08-28,555,Trevor Kelley,1498.0
2026-08-28,556,Brandon Waddell,1498.0
2026-08-28,557,Rony García,1498.0
2026-08-28,558,Thomas Szapucki,1498.0
2026-08-28,559,Jaime Barria,1498.0
2026-08-28,560,Jackson Tetreault,1498.0
2026-08-28,561,Jimmy Yacabonis,1498.0
2026-08-28,562,Roansy Contreras,1498.0
2026-08-28,563,David Price,1497.9
2026-08-28,564,Hayden Wesneski,1497.9
2026-08-28,565,Cory Abbott,1497.9
2026-08-28,566,Matt Andriese,1497.9
2026-08-28,567,Erik Swanson,1497.9
2026-08-28,568,Andrew Wantz,1497.8
2026-08-28,569,Lou Trivino III,1497.8
2026-08-28,570,Doug Nikhazy,1497.8
2026-08-28,571,Ariel Jurado,1497.8
2026-08-28,572,Matt Brash,1497.8
2026-08-28,573,Luinder Avila,1497.8
2026-08-28,574,Ethan Small,1497.8
2026-08-28,575,Kendry Rojas,1497.8
2026-08-28,576,Colin Selby,1497.7
2026-08-28,577,Dane Dunning,1497.7
2026-08-28,578,Luis García,1497.7
2026-08-28,579,Miguel Yajure,1497.7
2026-08-28,580,Michael Grove,1497.7
2026-08-28,581,Austin Cox,1497.7
2026-08-28,582,Brandon Walter,1497.7
2026-08-28,583,George Soriano,1497.6
2026-08-28,584,Owen Murphy,1497.6
2026-08-28,585,Yilber Díaz,1497.6
2026-08-28,586,Cam Bedrosian,1497.6
2026-08-28,587,Kyle Hurt,1497.5
2026-08-28,588,Jake Reed,1497.5
2026-08-28,589,JT Chargois,1497.5
2026-08-28,590,Nick Robertson,1497.5
2026-08-28,591,Ky Bush,1497.4
2026-08-28,592,Dylan Coleman,1497.4
2026-08-28,593,Konnor Pilkington,1497.4
2026-08-28,594,Gordon Graceffo,1497.4
2026-08-28,595,McCade Brown,1497.2
