as_of_date,rank,team,pitcher,rating,opponent
2026-08-21,1,Atlanta Braves,Chris Sale,1612.3,Milwaukee Brewers
2026-08-21,2,San Francisco Giants,Logan Webb,1593.4,Boston Red Sox
2026-08-21,3,Los Angeles Dodgers,Yoshinobu Yamamoto,1576.0,Pittsburgh Pirates
2026-08-21,4,Boston Red Sox,Sonny Gray,1575.5,San Francisco Giants
2026-08-21,5,Tampa Bay Rays,Freddy Peralta,1555.8,Baltimore Orioles
2026-08-21,6,Milwaukee Brewers,Jacob Misiorowski,1536.0,Atlanta Braves
2026-08-21,7,Detroit Tigers,Troy Melton,1535.8,Kansas City Royals
2026-08-21,8,Philadelphia Phillies,Jesús Luzardo,1533.7,St. Louis Cardinals
2026-08-21,9,Cleveland Guardians,Joey Cantillo,1529.8,Colorado Rockies
2026-08-21,10,New York Yankees,Cam Schlittler,1529.6,Toronto Blue Jays
2026-08-21,11,Arizona Diamondbacks,Eduardo Rodriguez,1521.0,Cincinnati Reds
2026-08-21,12,Chicago Cubs,Matthew Boyd,1518.1,Seattle Mariners
2026-08-21,13,Cincinnati Reds,Nick Lodolo,1516.5,Arizona Diamondbacks
2026-08-21,14,Chicago White Sox,Sean Burke,1515.4,New York Mets
2026-08-21,15,Athletics,J.T. Ginn,1514.9,Houston Astros
2026-08-21,16,Pittsburgh Pirates,Bubba Chandler,1506.6,Los Angeles Dodgers
2026-08-21,17,Toronto Blue Jays,Mason Fluharty,1504.0,New York Yankees
2026-08-21,18,Washington Nationals,Brad Lord,1499.1,Miami Marlins
2026-08-21,19,Baltimore Orioles,Trevor Rogers,1499.1,Tampa Bay Rays
2026-08-21,20,Kansas City Royals,Noah Cameron,1498.9,Detroit Tigers
2026-08-21,21,Houston Astros,Hayden Wesneski,1491.6,Athletics
2026-08-21,22,Los Angeles Angels,Reid Detmers,1490.4,Texas Rangers
2026-08-21,23,Seattle Mariners,Emerson Hancock,1487.6,Chicago Cubs
2026-08-21,24,Miami Marlins,Ryan Gusto,1480.2,Washington Nationals
2026-08-21,25,New York Mets,Sean Manaea,1476.5,Chicago White Sox
2026-08-21,26,Texas Rangers,MacKenzie Gore,1476.4,Los Angeles Angels
2026-08-21,27,Minnesota Twins,Connor Prielipp,1471.3,San Diego Padres
2026-08-21,28,Colorado Rockies,Tanner Gordon,1449.3,Cleveland Guardians
