as_of_date,rank,team,pitcher,rating,opponent
2026-09-10,1,New York Yankees,Max Fried,1636.3,Colorado Rockies
2026-09-10,2,Philadelphia Phillies,Zack Wheeler,1636.0,Houston Astros
2026-09-10,3,Seattle Mariners,Logan Gilbert,1608.9,Texas Rangers
2026-09-10,4,Texas Rangers,Jacob deGrom,1581.9,Seattle Mariners
2026-09-10,5,Tampa Bay Rays,Nick Martinez,1555.9,Atlanta Braves
2026-09-10,6,Atlanta Braves,Martín Pérez,1524.7,Tampa Bay Rays
2026-09-10,7,Chicago White Sox,Hagen Smith,1504.5,Pittsburgh Pirates
2026-09-10,8,Pittsburgh Pirates,Jared Jones,1500.0,Chicago White Sox
2026-09-10,9,Houston Astros,Cristian Javier,1497.7,Philadelphia Phillies
2026-09-10,10,Colorado Rockies,Ryan Feltner,1433.7,New York Yankees
