as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-09-13,822682,Washington Nationals,1478.1,Los Angeles Angels,1455.4,22.7,54.0
2026-09-13,822764,Toronto Blue Jays,1521.3,Baltimore Orioles,1519.0,2.3,53.7
2026-09-13,822928,Tampa Bay Rays,1537.8,Houston Astros,1504.0,33.8,59.8
2026-09-13,823008,St. Louis Cardinals,1494.8,Chicago White Sox,1505.8,-11.0,51.4
2026-09-13,823171,San Francisco Giants,1463.0,San Diego Padres,1539.2,-76.2,44.0
2026-09-13,823495,New York Yankees,1550.7,New York Mets,1522.5,28.2,58.5
2026-09-13,823658,Minnesota Twins,1474.8,Cleveland Guardians,1511.7,-36.9,48.6
2026-09-13,823734,Milwaukee Brewers,1570.5,Cincinnati Reds,1481.9,88.6,64.9
2026-09-13,823815,Miami Marlins,1512.4,Los Angeles Dodgers,1552.8,-40.4,47.3
2026-09-13,824225,Detroit Tigers,1498.6,Colorado Rockies,1416.3,82.3,64.3
2026-09-13,824628,Chicago Cubs,1547.4,Pittsburgh Pirates,1523.0,24.4,55.8
2026-09-13,824708,Boston Red Sox,1565.4,Kansas City Royals,1489.3,76.1,63.3
2026-09-13,824869,Atlanta Braves,1551.9,Philadelphia Phillies,1545.5,6.4,53.8
2026-09-13,824952,Athletics,1433.0,Seattle Mariners,1486.4,-53.4,45.3
2026-09-13,825033,Arizona Diamondbacks,1527.4,Texas Rangers,1493.2,34.2,57.1
