game_pk,date,year,status,home_team,away_team,home_score,away_score,home_probable_pitcher,away_probable_pitcher
745444,2024-03-20,2024,Final,San Diego Padres,Los Angeles Dodgers,2.0,5.0,Yu Darvish,Tyler Glasnow
746175,2024-03-21,2024,Final,Los Angeles Dodgers,San Diego Padres,11.0,15.0,Yoshinobu Yamamoto,Joe Musgrove
747060,2024-03-28,2024,Final,Baltimore Orioles,Los Angeles Angels,11.0,3.0,Corbin Burnes,Patrick Sandoval
746737,2024-03-28,2024,Final,Cincinnati Reds,Washington Nationals,8.0,2.0,Frankie Montas,Josiah Gray
745445,2024-03-28,2024,Final,San Diego Padres,San Francisco Giants,6.0,4.0,Yu Darvish,Logan Webb
746165,2024-03-28,2024,Final,Los Angeles Dodgers,St. Louis Cardinals,7.0,1.0,Tyler Glasnow,Miles Mikolas
745116,2024-03-28,2024,Final,Tampa Bay Rays,Toronto Blue Jays,2.0,8.0,Zach Eflin,José Berríos
746335,2024-03-28,2024,Final,Kansas City Royals,Minnesota Twins,1.0,4.0,Cole Ragans,Pablo López
746821,2024-03-28,2024,Final,Chicago White Sox,Detroit Tigers,0.0,1.0,Garrett Crochet,Tarik Skubal
746089,2024-03-28,2024,Final,Miami Marlins,Pittsburgh Pirates,5.0,6.0,Jesús Luzardo,Mitch Keller
746418,2024-03-28,2024,Final,Houston Astros,New York Yankees,4.0,5.0,Framber Valdez,Nestor Cortes
745039,2024-03-28,2024,Final,Texas Rangers,Chicago Cubs,4.0,3.0,Nathan Eovaldi,Justin Steele
745687,2024-03-28,2024,Final,Oakland Athletics,Cleveland Guardians,0.0,8.0,Alex Wood,Shane Bieber
747224,2024-03-28,2024,Final,Arizona Diamondbacks,Colorado Rockies,16.0,1.0,Zac Gallen,Kyle Freeland
745283,2024-03-28,2024,Final,Seattle Mariners,Boston Red Sox,4.0,6.0,Luis Castillo,Brayan Bello
745848,2024-03-28,2024,Final,New York Mets,Milwaukee Brewers,,,Jose Quintana,Freddy Peralta
745604,2024-03-28,2024,Final,Philadelphia Phillies,Atlanta Braves,,,Zack Wheeler,Spencer Strider
745848,2024-03-29,2024,Final,New York Mets,Milwaukee Brewers,1.0,3.0,Jose Quintana,Freddy Peralta
745604,2024-03-29,2024,Final,Philadelphia Phillies,Atlanta Braves,3.0,9.0,Zack Wheeler,Spencer Strider
745117,2024-03-29,2024,Final,Tampa Bay Rays,Toronto Blue Jays,8.0,2.0,Aaron Civale,Chris Bassitt
746091,2024-03-29,2024,Final,Miami Marlins,Pittsburgh Pirates,2.0,7.0,A.J. Puk,Martín Pérez
746412,2024-03-29,2024,Final,Houston Astros,New York Yankees,1.0,7.0,Cristian Javier,Carlos Rodón
747223,2024-03-29,2024,Final,Arizona Diamondbacks,Colorado Rockies,7.0,3.0,Merrill Kelly,Cal Quantrill
745682,2024-03-29,2024,Final,Oakland Athletics,Cleveland Guardians,4.0,6.0,Ross Stripling,Logan Allen
745276,2024-03-29,2024,Final,Seattle Mariners,Boston Red Sox,1.0,0.0,George Kirby,Nick Pivetta
745435,2024-03-29,2024,Final,San Diego Padres,San Francisco Giants,3.0,8.0,Joe Musgrove,Kyle Harrison
746167,2024-03-29,2024,Final,Los Angeles Dodgers,St. Louis Cardinals,6.0,3.0,Bobby Miller,Zack Thompson
745850,2024-03-30,2024,Final,New York Mets,Milwaukee Brewers,6.0,7.0,Luis Severino,DL Hall
746818,2024-03-30,2024,Final,Chicago White Sox,Detroit Tigers,6.0,7.0,Michael Soroka,Kenta Maeda
747063,2024-03-30,2024,Final,Baltimore Orioles,Los Angeles Angels,13.0,4.0,Grayson Rodriguez,Griffin Canning
745599,2024-03-30,2024,Final,Philadelphia Phillies,Atlanta Braves,4.0,12.0,Aaron Nola,Max Fried
745684,2024-03-30,2024,Final,Oakland Athletics,Cleveland Guardians,3.0,12.0,JP Sears,Tanner Bibee
746736,2024-03-30,2024,Final,Cincinnati Reds,Washington Nationals,6.0,7.0,Hunter Greene,Patrick Corbin
745119,2024-03-30,2024,Final,Tampa Bay Rays,Toronto Blue Jays,5.0,1.0,Zack Littell,Yusei Kikuchi
746333,2024-03-30,2024,Final,Kansas City Royals,Minnesota Twins,1.0,5.0,Seth Lugo,Joe Ryan
746087,2024-03-30,2024,Final,Miami Marlins,Pittsburgh Pirates,3.0,9.0,Ryan Weathers,Jared Jones
745037,2024-03-30,2024,Final,Texas Rangers,Chicago Cubs,11.0,2.0,Cody Bradford,Kyle Hendricks
745436,2024-03-30,2024,Final,San Diego Padres,San Francisco Giants,6.0,9.0,Dylan Cease,Jordan Hicks
746410,2024-03-30,2024,Final,Houston Astros,New York Yankees,3.0,5.0,Hunter Brown,Marcus Stroman
747221,2024-03-30,2024,Final,Arizona Diamondbacks,Colorado Rockies,4.0,9.0,Tommy Henry,Austin Gomber
746168,2024-03-30,2024,Final,Los Angeles Dodgers,St. Louis Cardinals,5.0,6.0,Yoshinobu Yamamoto,Lance Lynn
745278,2024-03-30,2024,Final,Seattle Mariners,Boston Red Sox,4.0,3.0,Logan Gilbert,Kutter Crawford
747062,2024-03-31,2024,Final,Baltimore Orioles,Los Angeles Angels,1.0,4.0,Tyler Wells,Reid Detmers
745602,2024-03-31,2024,Final,Philadelphia Phillies,Atlanta Braves,5.0,4.0,Ranger Suarez,Chris Sale
746739,2024-03-31,2024,Final,Cincinnati Reds,Washington Nationals,6.0,5.0,Nick Martinez,Jake Irvin
745115,2024-03-31,2024,Final,Tampa Bay Rays,Toronto Blue Jays,2.0,9.0,Shawn Armstrong,Kevin Gausman
746090,2024-03-31,2024,Final,Miami Marlins,Pittsburgh Pirates,7.0,9.0,Trevor Rogers,Bailey Falter
745845,2024-03-31,2024,Final,New York Mets,Milwaukee Brewers,1.0,4.0,Tylor Megill,Colin Rea
746332,2024-03-31,2024,Final,Kansas City Royals,Minnesota Twins,11.0,0.0,Brady Singer,Bailey Ober
746815,2024-03-31,2024,Final,Chicago White Sox,Detroit Tigers,2.0,3.0,Erick Fedde,Jack Flaherty
746413,2024-03-31,2024,Final,Houston Astros,New York Yankees,3.0,4.0,J.P. France,Clarke Schmidt
745035,2024-03-31,2024,Final,Texas Rangers,Chicago Cubs,5.0,9.0,Jon Gray,Jordan Wicks
745683,2024-03-31,2024,Final,Oakland Athletics,Cleveland Guardians,4.0,3.0,Paul Blackburn,Carlos Carrasco
747222,2024-03-31,2024,Final,Arizona Diamondbacks,Colorado Rockies,5.0,1.0,Brandon Pfaadt,Ryan Feltner
745279,2024-03-31,2024,Final,Seattle Mariners,Boston Red Sox,1.0,5.0,Bryce Miller,Garrett Whitlock
745438,2024-03-31,2024,Final,San Diego Padres,San Francisco Giants,13.0,4.0,Michael King,Daulton Jefferies
746166,2024-03-31,2024,Final,Los Angeles Dodgers,St. Louis Cardinals,5.0,4.0,Gavin Stone,Steven Matz
746817,2024-04-01,2024,Final,Chicago White Sox,Atlanta Braves,0.0,9.0,Chris Flexen,Charlie Morton
746899,2024-04-01,2024,Final,Chicago Cubs,Colorado Rockies,5.0,0.0,Shota Imanaga,Dakota Hudson
744875,2024-04-01,2024,Final,Washington Nationals,Pittsburgh Pirates,4.0,8.0,MacKenzie Gore,Marco Gonzales
747058,2024-04-01,2024,Final,Baltimore Orioles,Kansas City Royals,6.0,4.0,Dean Kremer,Michael Wacha
745600,2024-04-01,2024,Final,Philadelphia Phillies,Cincinnati Reds,3.0,6.0,Cristopher Sánchez,Andrew Abbott
746085,2024-04-01,2024,Final,Miami Marlins,Los Angeles Angels,4.0,7.0,Max Meyer,Chase Silseth
745109,2024-04-01,2024,Final,Tampa Bay Rays,Texas Rangers,3.0,9.0,Ryan Pepiot,Dane Dunning
745842,2024-04-01,2024,Final,New York Mets,Detroit Tigers,0.0,5.0,Sean Manaea,Reese Olson
746409,2024-04-01,2024,Final,Houston Astros,Toronto Blue Jays,10.0,0.0,Ronel Blanco,Bowden Francis
745675,2024-04-01,2024,Final,Oakland Athletics,Boston Red Sox,0.0,9.0,Joe Boyle,Tanner Houck
745277,2024-04-01,2024,Final,Seattle Mariners,Cleveland Guardians,5.0,4.0,Emerson Hancock,Triston McKenzie
745437,2024-04-01,2024,Final,San Diego Padres,St. Louis Cardinals,2.0,6.0,Matt Waldron,Kyle Gibson
747218,2024-04-01,2024,Final,Arizona Diamondbacks,New York Yankees,2.0,5.0,Ryne Nelson,Luis Gil
746170,2024-04-01,2024,Final,Los Angeles Dodgers,San Francisco Giants,8.0,3.0,James Paxton,Keaton Winn
746009,2024-04-02,2024,Final,Milwaukee Brewers,Minnesota Twins,3.0,2.0,Jakob Junis,Louis Varland
747057,2024-04-02,2024,Final,Baltimore Orioles,Kansas City Royals,1.0,4.0,Cole Irvin,Alec Marsh
745598,2024-04-02,2024,Final,Philadelphia Phillies,Cincinnati Reds,9.0,4.0,Spencer Turnbull,Graham Ashcraft
