game_pk,date,year,status,home_team,away_team,home_score,away_score,home_probable_pitcher,away_probable_pitcher
778563,2025-03-18,2025,Final,Chicago Cubs,Los Angeles Dodgers,1.0,4.0,Shota Imanaga,Yoshinobu Yamamoto
778564,2025-03-19,2025,Final,Chicago Cubs,Los Angeles Dodgers,3.0,6.0,Justin Steele,Roki Sasaki
778557,2025-03-27,2025,Final,New York Yankees,Milwaukee Brewers,4.0,2.0,Carlos Rodón,Freddy Peralta
778556,2025-03-27,2025,Final,Toronto Blue Jays,Baltimore Orioles,2.0,12.0,José Berríos,Zach Eflin
778553,2025-03-27,2025,Final,Texas Rangers,Boston Red Sox,2.0,5.0,Nathan Eovaldi,Garrett Crochet
778555,2025-03-27,2025,Final,Washington Nationals,Philadelphia Phillies,3.0,7.0,MacKenzie Gore,Zack Wheeler
778558,2025-03-27,2025,Final,Kansas City Royals,Cleveland Guardians,4.0,7.0,Cole Ragans,Ben Lively
778559,2025-03-27,2025,Final,Houston Astros,New York Mets,3.0,1.0,Framber Valdez,Clay Holmes
778561,2025-03-27,2025,Final,Cincinnati Reds,San Francisco Giants,4.0,6.0,Hunter Greene,Logan Webb
778545,2025-03-27,2025,Final,San Diego Padres,Atlanta Braves,7.0,4.0,Michael King,Chris Sale
778554,2025-03-27,2025,Final,Chicago White Sox,Los Angeles Angels,8.0,1.0,Sean Burke,Yusei Kikuchi
778562,2025-03-27,2025,Final,Miami Marlins,Pittsburgh Pirates,5.0,4.0,Sandy Alcantara,Paul Skenes
778551,2025-03-27,2025,Final,St. Louis Cardinals,Minnesota Twins,5.0,3.0,Sonny Gray,Pablo López
778546,2025-03-27,2025,Final,Los Angeles Dodgers,Detroit Tigers,5.0,4.0,Blake Snell,Tarik Skubal
778552,2025-03-27,2025,Final,Arizona Diamondbacks,Chicago Cubs,6.0,10.0,Zac Gallen,Justin Steele
778547,2025-03-27,2025,Final,Seattle Mariners,Athletics,4.0,2.0,Logan Gilbert,Luis Severino
778560,2025-03-28,2025,Final,Tampa Bay Rays,Colorado Rockies,3.0,2.0,Ryan Pepiot,Kyle Freeland
778549,2025-03-28,2025,Final,Toronto Blue Jays,Baltimore Orioles,8.0,2.0,Kevin Gausman,Charlie Morton
778548,2025-03-28,2025,Final,Miami Marlins,Pittsburgh Pirates,3.0,4.0,Connor Gillispie,Mitch Keller
778550,2025-03-28,2025,Final,Texas Rangers,Boston Red Sox,4.0,1.0,Jack Leiter,Tanner Houck
778518,2025-03-28,2025,Final,Houston Astros,New York Mets,1.0,3.0,Hunter Brown,Tylor Megill
778543,2025-03-28,2025,Final,Arizona Diamondbacks,Chicago Cubs,8.0,1.0,Merrill Kelly,Jameson Taillon
778541,2025-03-28,2025,Final,Seattle Mariners,Athletics,0.0,7.0,Luis Castillo,Jeffrey Springs
778542,2025-03-28,2025,Final,San Diego Padres,Atlanta Braves,4.0,3.0,Dylan Cease,Reynaldo López
778544,2025-03-28,2025,Final,Los Angeles Dodgers,Detroit Tigers,8.0,5.0,Yoshinobu Yamamoto,Jack Flaherty
778538,2025-03-29,2025,Final,New York Yankees,Milwaukee Brewers,20.0,9.0,Max Fried,Nestor Cortes
778534,2025-03-29,2025,Final,Chicago White Sox,Los Angeles Angels,0.0,1.0,Jonathan Cannon,José Soriano
778528,2025-03-29,2025,Final,St. Louis Cardinals,Minnesota Twins,5.0,1.0,Erick Fedde,Joe Ryan
