game_pk,date,year,status,home_team,away_team,home_score,away_score,home_probable_pitcher,away_probable_pitcher
718780,2023-03-30,2023,Final,Washington Nationals,Atlanta Braves,2.0,7.0,Patrick Corbin,Max Fried
718781,2023-03-30,2023,Final,New York Yankees,San Francisco Giants,5.0,0.0,Gerrit Cole,Logan Webb
718782,2023-03-30,2023,Final,Boston Red Sox,Baltimore Orioles,9.0,10.0,Corey Kluber,Kyle Gibson
718777,2023-03-30,2023,Final,Chicago Cubs,Milwaukee Brewers,4.0,0.0,Marcus Stroman,Corbin Burnes
718776,2023-03-30,2023,Final,Tampa Bay Rays,Detroit Tigers,4.0,0.0,Shane McClanahan,Eduardo Rodriguez
718779,2023-03-30,2023,Final,Texas Rangers,Philadelphia Phillies,11.0,7.0,Jacob deGrom,Aaron Nola
718773,2023-03-30,2023,Final,Cincinnati Reds,Pittsburgh Pirates,4.0,5.0,Hunter Greene,Mitch Keller
718772,2023-03-30,2023,Final,St. Louis Cardinals,Toronto Blue Jays,9.0,10.0,Miles Mikolas,Alek Manoah
718775,2023-03-30,2023,Final,Kansas City Royals,Minnesota Twins,0.0,2.0,Zack Greinke,Pablo López
718774,2023-03-30,2023,Final,Miami Marlins,New York Mets,3.0,5.0,Sandy Alcantara,Max Scherzer
718768,2023-03-30,2023,Final,Houston Astros,Chicago White Sox,2.0,3.0,Framber Valdez,Dylan Cease
718778,2023-03-30,2023,Final,San Diego Padres,Colorado Rockies,2.0,7.0,Blake Snell,Germán Márquez
718769,2023-03-30,2023,Final,Oakland Athletics,Los Angeles Angels,2.0,1.0,Kyle Muller,Shohei Ohtani
718770,2023-03-30,2023,Final,Los Angeles Dodgers,Arizona Diamondbacks,8.0,2.0,Julio Urías,Zac Gallen
718767,2023-03-30,2023,Final,Seattle Mariners,Cleveland Guardians,3.0,0.0,Luis Castillo,Shane Bieber
718771,2023-03-31,2023,Final,Miami Marlins,New York Mets,2.0,1.0,Jesús Luzardo,David Peterson
718764,2023-03-31,2023,Final,Houston Astros,Chicago White Sox,6.0,3.0,Cristian Javier,Lance Lynn
718766,2023-03-31,2023,Final,San Diego Padres,Colorado Rockies,1.0,4.0,Nick Martinez,Kyle Freeland
718765,2023-03-31,2023,Final,Los Angeles Dodgers,Arizona Diamondbacks,1.0,2.0,Dustin May,Merrill Kelly
718763,2023-03-31,2023,Final,Seattle Mariners,Cleveland Guardians,4.0,9.0,Robbie Ray,Hunter Gaddis
718760,2023-04-01,2023,Final,Houston Astros,Chicago White Sox,6.0,4.0,José Urquidy,Lucas Giolito
718759,2023-04-01,2023,Final,St. Louis Cardinals,Toronto Blue Jays,4.0,1.0,Jack Flaherty,Kevin Gausman
718758,2023-04-01,2023,Final,Chicago Cubs,Milwaukee Brewers,1.0,3.0,Justin Steele,Brandon Woodruff
718752,2023-04-01,2023,Final,Texas Rangers,Philadelphia Phillies,16.0,3.0,Nathan Eovaldi,Zack Wheeler
718753,2023-04-01,2023,Final,Washington Nationals,Atlanta Braves,1.0,7.0,Josiah Gray,Spencer Strider
718762,2023-04-01,2023,Final,New York Yankees,San Francisco Giants,5.0,7.0,Clarke Schmidt,Alex Cobb
718757,2023-04-01,2023,Final,Oakland Athletics,Los Angeles Angels,1.0,13.0,Shintaro Fujinami,Patrick Sandoval
718761,2023-04-01,2023,Final,Boston Red Sox,Baltimore Orioles,9.0,8.0,Chris Sale,Dean Kremer
718756,2023-04-01,2023,Final,Cincinnati Reds,Pittsburgh Pirates,6.0,2.0,Nick Lodolo,Rich Hill
718754,2023-04-01,2023,Final,Tampa Bay Rays,Detroit Tigers,12.0,2.0,Zach Eflin,Spencer Turnbull
718751,2023-04-01,2023,Final,Kansas City Royals,Minnesota Twins,0.0,2.0,Jordan Lyles,Sonny Gray
718755,2023-04-01,2023,Final,Miami Marlins,New York Mets,2.0,6.0,Edward Cabrera,Tylor Megill
718750,2023-04-01,2023,Final,San Diego Padres,Colorado Rockies,8.0,4.0,Michael Wacha,José Ureña
